City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thompson,CA,2021-05-31 14:58:44,55.7435,-97.8558,55.56,62,75,3.44
68,Zapolyarnyy,RU,2021-05-31 14:58:45,69.4154,30.8136,47.48,61,94,26.33
69,Bonnyville,CA,2021-05-31 14:58:45,54.2668,-110.735,60.6,93,100,6.22
70,Antalaha,MG,2021-05-31 14:58:45,-14.9003,50.2788,75.04,77,1,6.91
71,Nador,MA,2021-05-31 14:58:46,35.174,-2.9287,73.47,94,75,8.75
72,Cabo San Lucas,MX,2021-05-31 14:53:50,22.8909,-109.9124,83.8,56,46,4.03
73,Saint-Cyr-Sur-Loire,FR,2021-05-31 14:58:46,47.4,0.6667,76.05,45,0,8.05
74,Aykhal,RU,2021-05-31 14:58:46,66.0,111.5,53.38,43,64,12.95
75,Nha Trang,VN,2021-05-31 14:56:53,12.25,109.1833,86.0,78,26,3.67
76,Portland,US,2021-05-31 14:55:05,45.5234,-122.6762,66.58,66,55,3.0
77,Hobart,AU,2021-05-31 14:58:47,-42.8794,147.3294,44.92,83,100,3.0
78,Boende,CD,2021-05-31 14:58:47,-0.2167,20.8667,91.67,45,88,3.13
79,Airai,TL,2021-05-31 14:58:48,-8.9266,125.4092,59.61,96,95,1.97
80,Plymouth,US,2021-05-31 14:58:48,41.8334,-70.8328,55.22,95,90,6.96
81,Clyde River,CA,2021-05-31 14:58:49,70.4692,-68.5914,25.03,100,1,4.61
82,Cape Town,ZA,2021-05-31 14:58:34,-33.9258,18.4232,62.1,81,75,1.99
83,Port Elizabeth,ZA,2021-05-31 14:58:49,-33.918,25.5701,63.1,77,20,20.71
84,Ranong,TH,2021-05-31 14:58:49,9.9658,98.6348,80.91,85,62,7.45
85,Hithadhoo,MV,2021-05-31 14:58:50,-0.6,73.0833,84.07,70,82,16.64
86,Chokurdakh,RU,2021-05-31 14:58:50,70.6333,147.9167,52.48,54,30,10.16
87,Pevek,RU,2021-05-31 14:58:50,69.7008,170.3133,36.25,67,36,0.38
88,Puerto Ayora,EC,2021-05-31 14:56:45,-0.7393,-90.3518,76.96,86,83,5.01
89,Umm Kaddadah,SD,2021-05-31 14:58:51,13.6017,26.6876,91.2,30,96,22.37
90,Kloulklubed,PW,2021-05-31 14:58:52,7.0419,134.2556,84.4,77,100,16.91
91,Florianopolis,BR,2021-05-31 14:58:52,-27.6146,-48.5012,64.54,74,75,3.44
92,Kendari,ID,2021-05-31 14:58:52,-3.945,122.4989,76.14,92,100,2.33
93,Qaanaaq,GL,2021-05-31 14:58:53,77.484,-69.3632,33.19,89,100,2.95
94,Hilo,US,2021-05-31 14:58:53,19.7297,-155.09,77.29,94,90,4.61
95,Bayir,TR,2021-05-31 14:58:53,37.2687,28.2167,72.12,41,5,10.36
96,Eyl,SO,2021-05-31 14:58:54,7.9803,49.8164,81.61,72,97,19.66
97,Tilichiki,RU,2021-05-31 14:58:54,60.4667,166.1,35.98,82,100,3.71
98,Provideniya,RU,2021-05-31 14:58:54,64.3833,-173.3,38.5,67,92,7.85
99,Castro,BR,2021-05-31 14:58:55,-24.7911,-50.0119,57.25,97,100,2.62
100,Presidencia Roque Saenz Pena,AR,2021-05-31 14:58:55,-26.7852,-60.4388,64.9,26,0,3.91
101,Ussel,FR,2021-05-31 14:58:55,45.55,2.3167,75.09,39,33,1.68
102,Longyearbyen,SJ,2021-05-31 14:58:56,78.2186,15.6401,37.24,65,75,8.05
103,Avarua,CK,2021-05-31 14:58:56,-21.2078,-159.775,71.65,68,87,4.61
104,Kysyl-Syr,RU,2021-05-31 14:58:56,63.8986,122.7617,51.15,47,41,1.48
105,Adrar,MR,2021-05-31 14:58:57,20.5022,-10.0711,103.69,13,96,3.53
106,Ilulissat,GL,2021-05-31 14:58:57,69.2167,-51.1,32.68,93,100,3.02
107,Robertsport,LR,2021-05-31 14:58:58,6.7533,-11.3686,73.92,92,100,3.15
108,Fukue,JP,2021-05-31 14:58:58,32.6881,128.8419,69.49,73,100,7.87
109,Jaffna,LK,2021-05-31 14:57:09,9.6685,80.0074,83.95,83,100,21.63
110,Namibe,AO,2021-05-31 14:58:58,-15.1961,12.1522,78.96,55,0,13.18
111,Atuona,PF,2021-05-31 14:56:09,-9.8,-139.0333,78.66,70,25,11.88
112,San Rafael,AR,2021-05-31 14:58:59,-34.6177,-68.3301,63.57,29,97,4.88
113,Quelimane,MZ,2021-05-31 14:57:22,-17.8786,36.8883,78.75,69,40,8.01
114,Kaitangata,NZ,2021-05-31 14:59:00,-46.2817,169.8464,45.93,83,94,5.46
115,Yuanping,CN,2021-05-31 14:59:00,38.7153,112.7575,64.6,65,100,3.13
116,Roma,US,2021-05-31 14:59:00,43.2128,-75.4557,65.86,83,43,1.99
117,Lorengau,PG,2021-05-31 14:59:01,-2.0226,147.2712,80.26,86,100,9.6
118,Coracao De Jesus,BR,2021-05-31 14:59:01,-16.6853,-44.365,79.52,33,36,7.2
119,Pasni,PK,2021-05-31 14:59:01,25.2631,63.471,87.26,72,0,17.72
120,Ponta Do Sol,PT,2021-05-31 14:59:02,32.6667,-17.1,71.01,73,58,2.55
121,Vuktyl,RU,2021-05-31 14:59:02,63.8567,57.3094,49.05,45,91,10.38
122,Pisco,PE,2021-05-31 14:59:03,-13.7,-76.2167,66.25,82,90,3.44
123,Kiruna,SE,2021-05-31 14:59:03,67.8557,20.2251,49.12,57,0,12.66
124,Butaritari,KI,2021-05-31 14:59:03,3.0707,172.7902,82.6,77,36,15.99
125,Nexo,DK,2021-05-31 14:59:04,55.0607,15.1306,57.29,79,60,14.07
126,Sao Felix Do Xingu,BR,2021-05-31 14:59:04,-6.6447,-51.995,90.64,35,33,3.69
127,Timbiqui,CO,2021-05-31 14:59:04,2.7717,-77.6654,78.31,87,97,2.93
128,Sayyan,YE,2021-05-31 14:59:05,15.1718,44.3244,74.88,12,10,20.38
129,Port Alfred,ZA,2021-05-31 14:59:05,-33.5906,26.891,62.71,62,100,12.19
130,Chuy,UY,2021-05-31 14:59:06,-33.6971,-53.4616,58.89,50,29,17.09
131,Alekseyevka,RU,2021-05-31 14:59:06,50.6309,38.6903,56.08,76,100,7.9
132,Vilhena,BR,2021-05-31 14:54:07,-12.7406,-60.1458,80.82,65,0,8.05
133,Jasper,US,2021-05-31 14:59:07,37.2001,-94.3502,64.45,73,100,1.99
134,Rocha,UY,2021-05-31 14:59:07,-34.4833,-54.3333,60.21,52,12,19.64
135,Ostrovnoy,RU,2021-05-31 14:59:08,68.0531,39.5131,44.49,85,100,19.39
